google.com,,,,
Time,Request,Resp. Size,Analysis,Total time
01:34:28.865,"GET https://static.licdn.com/sc/h/cfxoakza22hzhnkxg5prelnmu,corgu0ret3ul83isb91oe3b9u",15409,[TXT],77 ms
01:34:28.982,GET https://static.licdn.com/sc/h/cxp4yzrn4stk1mtibiy4cu018,31798,[Image],48 ms
01:34:28.943,GET https://static.licdn.com/sc/h/dapbrw4pqvstwacwsynwf1hpf,1797,[Image],65 ms
01:34:28.943,GET https://static.licdn.com/sc/h/e8dg0fykg16fnqqptq2qr46d,1321,[Image],60 ms
01:34:28.865,GET https://static.licdn.com/sc/h/emq1uxo18n86rxxkyp58bnef6,4943,[TXT],46 ms
01:34:29.446,GET https://static.licdn.com/sc/p/com.linkedin.nux%3Anux-static-content%2B0.4.13/f/%2Fnux-frontend%2Fconcat%2FjoinFormCpDesktopJs_zh_CN.js,4239,[JavaScript],148 ms
01:34:29.450,GET https://static.licdn.com/sc/p/com.linkedin.nux%3Anux-static-content%2B0.4.13/f/%2Fnux-frontend%2Fconcat%2FrumCore_zh_CN.js,6856,[JavaScript],26 ms
01:34:28.738,GET https://static.licdn.com/scds/common/u/lib/fizzy/fz-1.3.8-min.js,10404,[JavaScript],99 ms
01:34:29.193,GET https://www.linkedin.com/analytics/noauthtracker,553,[Image],98 ms
01:34:29.456,GET https://www.linkedin.com/favicon.ico,1701,[Image],246 ms
01:34:28.447,GET https://www.linkedin.com/hp/,9431,[HTML],386 ms
01:34:29.485,POST https://www.linkedin.com/lite/rum-track,1451,[JSON],90 ms
01:34:29.184,POST https://www.linkedin.com/mob/tracking,630,[Text],91 ms
,,,,
qq.com,,,,
Time,Request,Resp. Size,Analysis,Total time
01:35:25.061,GET http://www.qq.com/,52093,[HTML],165 ms
01:35:25.128,GET http://www.qq.com/css/qq_index/qq-170103.css,15247,[TXT],112 ms
01:35:25.128,GET http://mat1.gtimg.com/www/css/qq2012/hot_word_sogou.css,936,[TXT],75 ms
01:35:25.226,GET http://mat1.gtimg.com/www/images/qq2012/sogouSearchLogo20140629.png,2689,[Image],38 ms
01:35:25.240,GET http://mat1.gtimg.com/www/images/qq2012/guanjia2.png,3669,[Image],57 ms
01:35:25.240,GET http://img1.gtimg.com/ninja/2/2017/02/ninja148711804159755.jpg,6279,[Image],114 ms
01:35:25.240,GET http://img1.gtimg.com/ninja/2/2017/02/ninja148711816928702.jpg,4797,[Image],113 ms
01:35:25.265,GET http://img1.gtimg.com/news/pics/hv1/108/139/2185/142115178.jpg,6375,[Image],85 ms
01:35:25.265,GET http://img1.gtimg.com/news/pics/hv1/65/64/2186/142161035.jpg,6319,[Image],76 ms
01:35:25.266,GET http://img1.gtimg.com/v/pics/hv1/49/64/2186/142161019.jpg,7224,[Image],109 ms
01:35:25.266,GET http://img1.gtimg.com/ninja/2/2017/02/ninja148619517012392.jpg,19041,[Image],144 ms
